관리번호,년도,지역,차수,분류,재질,상세분류,개수
1885,2019,포항 칠포,1차,플라스틱류,경질형,"세제용기(주방, 세탁, 목욕 등), 화장품",2
1885,2019,포항 칠포,1차,천연 섬유,,"옷, 모자, 양말, 천, 장갑(면장갑, 목장갑, 코팅목장갑) 등 천연 섬유만 해당",2
1885,2019,포항 칠포,1차,플라스틱류,경질형,라이터,3
1885,2019,포항 칠포,1차,플라스틱류,필름형,"포장지(라면봉지, 과자봉지 등)",3
1885,2019,포항 칠포,1차,금속,,"캔, 가스캔, 낚시바늘, 낚시추, 스프링 통발, 스프레이캔, 못, 철사, 폭죽 철심 등",3
1885,2019,포항 칠포,1차,플라스틱류,경질형,"가짜미끼, 형광찌, 낚시 미끼통",4
1885,2019,포항 칠포,1차,플라스틱류,경질형,"기타 플라스틱 제품, 상자, 바구니, 방수천막 등",4
1885,2019,포항 칠포,1차,플라스틱류,필름형,파편,4
1885,2019,포항 칠포,1차,종이,,"종이컵, 우유팩, 종이쇼핑백, 종이상자, 폭죽 종이포장 등",5
1885,2019,포항 칠포,1차,플라스틱류,섬유형,"끈(노끈, 포장용끈)",6
1885,2019,포항 칠포,1차,고무,,"타이어, 고무풍선, 고무장갑 등",7
1885,2019,포항 칠포,1차,플라스틱류,경질형,1회용품 접시·숟가락·빨대 등,7
